[2026-07-20T01:28:34.996Z] === Item Extractor Started ===
[2026-07-20T01:28:34.997Z] WS addEventListener hooked
[2026-07-20T01:33:43.485Z] WS send cmd=33086
[2026-07-20T01:33:54.634Z] WS send cmd=33086
[2026-07-20T01:33:58.700Z] WS send cmd=38206
[2026-07-20T01:34:05.816Z] WS send cmd=33086
[2026-07-20T01:34:16.999Z] WS send cmd=33086
[2026-07-20T01:34:28.181Z] WS send cmd=33086
[2026-07-20T01:34:29.197Z] WS send cmd=38206
[2026-07-20T01:34:39.347Z] WS send cmd=33086
[2026-07-20T01:34:50.529Z] WS send cmd=33086
[2026-07-20T01:34:59.678Z] WS send cmd=38206
[2026-07-20T01:35:01.711Z] WS send cmd=33086
[2026-07-20T01:35:12.877Z] WS send cmd=33086
[2026-07-20T01:35:24.059Z] WS send cmd=33086
[2026-07-20T01:35:30.159Z] WS send cmd=38206
[2026-07-20T01:35:35.225Z] WS send cmd=33086
[2026-07-20T01:35:46.407Z] WS send cmd=33086
[2026-07-20T01:35:57.590Z] WS send cmd=33086
[2026-07-20T01:36:00.640Z] WS send cmd=38206
[2026-07-20T01:36:08.772Z] WS send cmd=33086
[2026-07-20T01:36:19.955Z] WS send cmd=33086
[2026-07-20T01:36:31.137Z] WS send cmd=38206
[2026-07-20T01:36:31.137Z] WS send cmd=33086
[2026-07-20T01:36:42.319Z] WS send cmd=33086
[2026-07-20T01:36:53.502Z] WS send cmd=33086
[2026-07-20T01:37:01.617Z] WS send cmd=38206
[2026-07-20T01:37:04.667Z] WS send cmd=33086
[2026-07-20T01:37:15.833Z] WS send cmd=33086
[2026-07-20T01:37:26.983Z] WS send cmd=33086
[2026-07-20T01:37:32.132Z] WS send cmd=38206
[2026-07-20T01:37:38.215Z] WS send cmd=33086
[2026-07-20T01:37:49.397Z] WS send cmd=33086
[2026-07-20T01:38:00.579Z] WS send cmd=33086
[2026-07-20T01:38:02.612Z] WS send cmd=38206
[2026-07-20T01:38:11.762Z] WS send cmd=33086
[2026-07-20T01:38:22.944Z] WS send cmd=33086
[2026-07-20T01:38:33.110Z] WS send cmd=38206
[2026-07-20T01:38:34.127Z] WS send cmd=33086
