[2026-07-20T01:28:34.996Z] === Item Extractor Started ===
[2026-07-20T01:28:34.997Z] WS addEventListener hooked
[2026-07-20T01:35:30.159Z] WS send cmd=38206
[2026-07-20T01:35:35.225Z] WS send cmd=33086
[2026-07-20T01:35:46.407Z] WS send cmd=33086
[2026-07-20T01:35:57.590Z] WS send cmd=33086
[2026-07-20T01:36:00.640Z] WS send cmd=38206
[2026-07-20T01:36:08.772Z] WS send cmd=33086
[2026-07-20T01:36:19.955Z] WS send cmd=33086
[2026-07-20T01:36:31.137Z] WS send cmd=38206
[2026-07-20T01:36:31.137Z] WS send cmd=33086
[2026-07-20T01:36:42.319Z] WS send cmd=33086
[2026-07-20T01:36:53.502Z] WS send cmd=33086
[2026-07-20T01:37:01.617Z] WS send cmd=38206
[2026-07-20T01:37:04.667Z] WS send cmd=33086
[2026-07-20T01:37:15.833Z] WS send cmd=33086
[2026-07-20T01:37:26.983Z] WS send cmd=33086
[2026-07-20T01:37:32.132Z] WS send cmd=38206
[2026-07-20T01:37:38.215Z] WS send cmd=33086
[2026-07-20T01:37:49.397Z] WS send cmd=33086
[2026-07-20T01:38:00.579Z] WS send cmd=33086
[2026-07-20T01:38:02.612Z] WS send cmd=38206
[2026-07-20T01:38:11.762Z] WS send cmd=33086
[2026-07-20T01:38:22.944Z] WS send cmd=33086
[2026-07-20T01:38:33.110Z] WS send cmd=38206
[2026-07-20T01:38:34.127Z] WS send cmd=33086
[2026-07-20T01:38:45.292Z] WS send cmd=33086
[2026-07-20T01:38:56.458Z] WS send cmd=33086
[2026-07-20T01:39:03.574Z] WS send cmd=38206
[2026-07-20T01:39:07.640Z] WS send cmd=33086
[2026-07-20T01:39:18.822Z] WS send cmd=33086
[2026-07-20T01:39:30.005Z] WS send cmd=33086
[2026-07-20T01:39:34.054Z] WS send cmd=38206
[2026-07-20T01:39:41.170Z] WS send cmd=33086
[2026-07-20T01:39:52.353Z] WS send cmd=33086
[2026-07-20T01:40:03.535Z] WS send cmd=33086
[2026-07-20T01:40:04.552Z] WS send cmd=38206
[2026-07-20T01:40:14.701Z] WS send cmd=33086
[2026-07-20T01:40:25.883Z] WS send cmd=33086
[2026-07-20T01:40:35.032Z] WS send cmd=38206
[2026-07-20T01:40:37.066Z] WS send cmd=33086
[2026-07-20T01:40:48.248Z] WS send cmd=33086
[2026-07-20T01:40:59.430Z] WS send cmd=33086
[2026-07-20T01:41:05.513Z] WS send cmd=38206
[2026-07-20T01:41:10.596Z] WS send cmd=33086
[2026-07-20T01:41:21.778Z] WS send cmd=33086
[2026-07-20T01:41:32.944Z] WS send cmd=33086
[2026-07-20T01:41:35.994Z] WS send cmd=38206
[2026-07-20T01:41:44.127Z] WS send cmd=33086
[2026-07-20T01:41:55.309Z] WS send cmd=33086
[2026-07-20T01:42:06.491Z] WS send cmd=38206
[2026-07-20T01:42:06.491Z] WS send cmd=33086
[2026-07-20T01:42:17.673Z] WS send cmd=33086
[2026-07-20T01:42:28.856Z] WS send cmd=33086
[2026-07-20T01:42:36.988Z] WS send cmd=38206
[2026-07-20T01:42:40.038Z] WS send cmd=33086
[2026-07-20T01:42:51.204Z] WS send cmd=33086
[2026-07-20T01:43:02.386Z] WS send cmd=33086
[2026-07-20T01:43:07.469Z] WS send cmd=38206
[2026-07-20T01:43:13.568Z] WS send cmd=33086
[2026-07-20T01:43:24.751Z] WS send cmd=33086
[2026-07-20T01:43:35.933Z] WS send cmd=33086
[2026-07-20T01:43:37.966Z] WS send cmd=38206
[2026-07-20T01:43:47.099Z] WS send cmd=33086
[2026-07-20T01:43:58.248Z] WS send cmd=33086
[2026-07-20T01:44:08.414Z] WS send cmd=38206
[2026-07-20T01:44:09.431Z] WS send cmd=33086
[2026-07-20T01:44:20.613Z] WS send cmd=33086
[2026-07-20T01:44:31.746Z] WS send cmd=33086
[2026-07-20T01:44:38.790Z] WS send cmd=38206
[2026-07-20T01:44:42.814Z] WS send cmd=33086
[2026-07-20T01:44:53.888Z] WS send cmd=33086
[2026-07-20T01:45:04.954Z] WS send cmd=33086
[2026-07-20T01:45:08.983Z] WS send cmd=38206
[2026-07-20T01:45:16.021Z] WS send cmd=33086
[2026-07-20T01:45:27.090Z] WS send cmd=33086
[2026-07-20T01:45:38.167Z] WS send cmd=33086
[2026-07-20T01:45:39.173Z] WS send cmd=38206
[2026-07-20T01:45:49.241Z] WS send cmd=33086
[2026-07-20T01:46:00.315Z] WS send cmd=33086
[2026-07-20T01:46:09.379Z] WS send cmd=38206
[2026-07-20T01:46:11.392Z] WS send cmd=33086
[2026-07-20T01:46:22.465Z] WS send cmd=33086
[2026-07-20T01:46:33.542Z] WS send cmd=33086
[2026-07-20T01:46:39.582Z] WS send cmd=38206
[2026-07-20T01:46:44.616Z] WS send cmd=33086
[2026-07-20T01:46:55.678Z] WS send cmd=33086
[2026-07-20T01:47:06.753Z] WS send cmd=33086
[2026-07-20T01:47:09.771Z] WS send cmd=38206
[2026-07-20T01:47:17.821Z] WS send cmd=33086
[2026-07-20T01:47:28.892Z] WS send cmd=33086
[2026-07-20T01:47:39.965Z] WS send cmd=38206
[2026-07-20T01:47:39.965Z] WS send cmd=33086
[2026-07-20T01:47:51.044Z] WS send cmd=33086
[2026-07-20T01:48:02.112Z] WS send cmd=33086
[2026-07-20T01:48:10.169Z] WS send cmd=38206
[2026-07-20T01:48:13.189Z] WS send cmd=33086
[2026-07-20T01:48:24.253Z] WS send cmd=33086
[2026-07-20T01:48:35.329Z] WS send cmd=33086
[2026-07-20T01:48:40.361Z] WS send cmd=38206
[2026-07-20T01:48:46.398Z] WS send cmd=33086
[2026-07-20T01:48:57.461Z] WS send cmd=33086
[2026-07-20T01:49:08.535Z] WS send cmd=33086
[2026-07-20T01:49:10.548Z] WS send cmd=38206
[2026-07-20T01:49:19.607Z] WS send cmd=33086
[2026-07-20T01:49:30.673Z] WS send cmd=33086
[2026-07-20T01:49:40.733Z] WS send cmd=38206
[2026-07-20T01:49:41.740Z] WS send cmd=33086
[2026-07-20T01:49:52.819Z] WS send cmd=33086
[2026-07-20T01:50:03.891Z] WS send cmd=33086
[2026-07-20T01:50:10.934Z] WS send cmd=38206
[2026-07-20T01:50:14.961Z] WS send cmd=33086
